ID,YearBuilt,Age,ConcreteType,DesignType,Rated_Load_Capacity,SlabThickness,Bear_Surface_Area,No_Of_Beams,Length,Width,Height,MinimumTemperature,AverageTemperature,MaximumTemperature,MinimumRelativeHumidity,AverageRelativeHumidity,MaximumRelativeHumidity,AverageWindSpeed,MinimumNO2,AverageNO2,MaximumNO2,MinimumSO2,AverageSO2,MaximumSO2,MinimumCO,AverageCO,MaximumCO,MinimumCO2,AverageCO2,MaximumCO2,MinimumRain,AverageRain,MaximumRain,MinimumWaterLevel,AverageWaterLevel,MaximumWaterLevel,MinimumTrafficVolume,AverageTrafficVolume,MaximumTrafficVolume,SpeedLimit,No_of_Maintenance,No_Of_Vehicle_Passed,AverageTimeGapInMaintenance,Crack_Surface_Area,Durability,RemainingLifeSpan,MaintenanceRequired
1,2002,23,High-Strength,Truss,63.03096908,0.519102612,45.30619786,5,31.33334989,7.1542503,95.53355973,-26.68831333,26.097872,45.98866047,37.79165353,68.97517315,96.39310282,15.12727716,17.64941958,30.05700938,76.87382821,8.713301431,22.07622559,58.32481294,0.589739319,4.069730149,6.086230798,307.5029397,402.506443,578.2069965,3.019341927,29.74117764,103.5765158,0.916251372,1.463093795,8.425496386,481,4249,8038,107,18,6769618,6.46694986,5.474724056,96.12714803,76.38096502,No
2,1951,74,Normal,Cable-Stayed,49.24511475,0.810401422,17.84373732,2,888.8102075,44.88169178,49.15202367,-11.65067583,5.729954467,49.08627736,39.17641345,54.17948052,96.54050297,19.95230977,17.52068398,47.52295998,68.55587781,7.985880141,22.56520806,43.84169224,0.884719963,4.978258328,7.487157986,349.9623191,383.232921,574.4769838,9.77246637,32.02568434,61.29692915,0.169847261,2.487375541,8.584450768,740,4498,9904,42,14,7748108,9.703079162,1.199863221,92.48549238,2.437227965,Yes
3,1992,33,Self-Consolidating,Arch,95.40071227,0.910866494,126.1412591,15,912.5473269,25.09985263,72.45413259,-3.462267205,21.65472508,46.63175865,34.27638665,55.1078067,78.17779005,4.024929861,5.983731863,48.05597116,96.11688545,0.997560544,24.60474524,31.76239772,0.847577518,1.722651016,8.883496661,320.4671837,406.3731485,482.0497425,3.969524041,22.81468727,180.6700327,0.051135222,3.350510424,9.2035861,704,1007,8360,96,5,1710946,2.272899818,5.101421539,86.0175894,58.15793216,Yes
4,1914,111,Normal,Truss,42.13274887,0.46883405,135.1778791,18,667.03336,38.74836561,81.30444337,-15.10982327,27.00800286,40.52669231,34.63236642,65.90062255,92.28971318,4.613317438,2.580805266,35.04447368,97.91808604,6.894738218,25.06388295,56.70153976,0.639828604,2.621292519,9.937892191,318.4864533,402.3596478,518.5066348,8.55160595,27.46084755,152.5997483,0.697068289,4.434330581,5.861407172,645,3320,7333,86,14,3901241,4.961223875,3.471035198,92.85575326,43.46843258,Yes
5,2006,19,Normal,Cable-Stayed,78.36000432,0.331550004,104.675471,15,305.9247592,27.33487163,19.39390572,-14.29330327,9.356473544,43.75932708,13.63049232,66.76293228,73.99767605,15.6468615,9.286776356,43.15449397,55.20793864,8.146192371,25.534239,51.71602265,0.801414838,1.544228297,8.634328817,309.6618149,433.2126666,594.0403405,3.007085293,30.85970297,103.885878,0.354114876,2.132332352,9.14919487,946,2340,7503,48,8,453416,5.822882063,0.850444586,60.50042152,45.37197257,No
6,1971,54,High-Strength,Beam,62.47834691,0.789609327,155.4889443,7,495.0280976,44.58490147,9.271015777,3.496783609,15.08715059,45.45774849,37.14280451,61.15360509,81.0673926,7.25163265,4.421868784,25.07635033,86.27694823,3.782248873,27.85027125,40.26807124,0.17591752,3.925038411,6.76871001,339.5504694,404.7534034,525.1746458,6.509378169,48.38376717,147.6733184,0.292331019,4.396632606,7.40040791,358,2743,6896,77,9,1757931,5.038448835,0.098473396,74.7939727,40.60983302,No
7,1960,65,Self-Consolidating,Beam,14.91184828,0.818046207,117.1060826,6,764.9932266,38.73494041,17.20671402,-8.534950375,25.22826122,26.49939352,38.46652552,40.68089877,81.07813747,14.97933373,9.182815833,41.02963207,90.0660831,0.671667667,10.14411373,31.83285959,0.111301344,3.499135017,5.114339342,328.7872118,448.5398844,551.3825791,6.71682098,15.49377065,197.6339966,0.564505331,1.056624114,9.901327125,515,4798,6231,77,14,5478208,4.19164663,9.140411619,56.63358044,52.97687925,No
8,1920,105,High-Strength,Truss,17.59469932,0.984026755,171.1572432,4,814.898392,8.845599171,37.39052448,-6.49406714,18.37672327,24.29754633,16.94661234,61.7147822,95.36878872,6.626259449,11.56161763,42.95527698,62.54131055,4.522751031,23.71351927,42.5455784,0.523246395,3.918895462,6.394574418,322.908168,396.076811,482.5193447,5.782352901,36.06864205,88.02478315,0.503149517,1.455787102,8.218048243,534,1074,6564,38,16,4220788,7.851654027,8.358552998,58.73575617,18.03122307,No
9,2002,23,Normal,Truss,28.28408394,0.311633481,64.74253303,16,349.9105456,38.84661075,95.87265181,-18.12733476,13.94259135,26.12771331,25.22924458,62.39733191,72.1989829,14.90658205,16.46091585,28.04605971,73.79911161,3.671973124,22.00385012,52.39913347,0.651543882,1.541093146,9.125952922,337.4956609,446.5134798,519.5871853,3.819926356,36.2813121,132.8281526,0.333498048,2.940536438,9.512761369,697,2127,6073,46,7,9559006,2.282720879,1.384780432,74.92999253,18.52241714,Yes
10,2021,4,High-Strength,Truss,22.88373606,0.767536706,56.19058287,8,332.8064581,17.00663669,9.063666602,-10.68080838,20.64805186,46.6454671,21.86614737,50.65659553,85.47673673,14.39342742,15.85495337,37.01855727,88.83489845,8.393442253,10.75127668,57.88298455,0.304785749,3.212613899,9.426573278,304.5003826,397.2520661,490.2504027,7.872864429,33.32658775,121.2380444,0.033545792,3.647543114,7.538682521,492,1262,7230,45,13,8474437,6.009539248,3.712604642,63.57448217,95.5665609,No
11,1982,43,Self-Consolidating,Beam,39.64343407,0.53383403,59.61761335,12,738.8194029,39.78752952,92.38081946,-27.84157368,13.11789761,30.09653815,32.37638228,59.12069402,83.02335624,16.18006561,0.351441412,43.41571241,94.27301386,2.479284942,19.37897672,48.45385473,0.924704862,2.088888819,7.640731101,312.5917803,433.7566138,557.9409341,0.160893073,12.14457035,121.5041885,0.176906307,4.461429361,9.483862018,802,4151,6173,33,13,8824019,5.245765415,6.088493285,80.49167135,72.84252736,No
12,1986,39,High-Strength,Cable-Stayed,62.10900244,0.93170355,15.7985103,11,689.4923232,47.68317506,58.32299569,-12.78812265,20.65773786,24.59721528,14.55312136,48.11153293,87.88778242,16.11568793,1.55043902,23.01462247,96.57628114,7.816725832,29.27369794,46.64865519,0.107265702,4.946677808,9.922627458,343.2341668,358.1520912,455.624546,1.111906106,21.12797546,161.0247131,0.409924181,1.262280754,6.356737815,769,4567,5066,104,14,576008,3.801103275,2.339484299,58.81072457,83.95760662,Yes
13,1974,51,Self-Consolidating,Truss,64.21262887,0.526264707,181.1185738,15,518.0652366,46.8559494,14.72239134,2.107825458,8.625758719,49.98765315,32.0020581,49.78374359,96.09890175,1.435484151,19.44410385,20.85743711,52.21384585,4.453275683,19.2282974,41.88508906,0.264621506,2.852081635,6.849341689,306.8930712,408.2068276,556.7893411,7.891187787,15.70908075,105.9975528,0.325009636,3.749902858,8.096816828,513,3626,5139,92,8,5109205,5.610179002,6.369038233,79.11193725,4.479055302,No
14,1974,51,Self-Consolidating,Beam,62.89910066,0.5567683,199.8454474,4,426.0578586,10.62501046,19.51110666,-23.54170365,10.63515649,25.04710531,35.43615199,50.74020848,72.13679492,13.47307483,6.313866902,24.91578114,52.72995785,2.561091159,17.80154554,44.25851808,0.963386683,3.495029507,6.149620426,301.8693177,401.571192,462.7678595,4.165624131,33.16478741,98.2367202,0.775854317,3.710615335,8.421361186,123,1699,5811,72,19,415798,1.657664621,0.19183694,87.56676133,53.24006307,Yes
15,1987,38,High-Strength,Truss,20.58477712,0.301437279,165.1392844,15,660.5881456,7.460250764,70.48646132,0.579107437,5.367106651,23.48926332,13.59071026,66.08292267,99.41716604,8.706771821,17.60593832,27.95275525,58.05491747,3.785452422,14.4441476,48.03285832,0.771853262,1.411435933,9.719152793,346.2743185,439.4955084,457.9599388,3.860710414,36.89082724,170.8745968,0.158341232,3.191773278,6.375763917,822,3215,9812,65,15,3693302,3.332823408,3.959005309,52.89585275,1.212048809,Yes
16,2016,9,Normal,Truss,64.02028698,0.456749428,88.39325776,18,42.10898714,39.9641738,62.80307872,-15.03137475,9.612200196,45.02083263,16.9200433,67.87736662,89.8056212,14.96652905,4.07604947,37.36781261,66.12964612,1.053840998,28.03944855,49.9599934,0.200539026,2.974768633,5.998424841,304.0528191,360.6730788,463.3856458,4.278308949,39.92332535,141.2986898,0.815500504,3.446168741,5.962920659,193,3090,5755,116,17,321367,8.723487641,0.20115206,89.25327611,98.27007052,No
17,1999,26,High-Strength,Truss,46.87721982,0.520672376,77.24737566,5,84.93268005,36.94827705,20.9083646,-28.91753152,8.268064308,45.35576123,13.71197202,61.66001725,92.91545434,18.80393592,17.0939915,47.32649851,74.07764867,8.22276812,10.68731398,49.14469293,0.368936486,2.586663897,8.786286633,312.344044,433.320169,592.6982712,3.014141769,14.786684,100.1312434,0.670156606,4.951934386,5.067000722,223,3735,9926,51,16,5159394,3.159326059,2.801677058,88.47388022,3.032910213,No
18,2003,22,Normal,Beam,91.27473987,0.214007004,157.1896879,7,577.3558871,12.92776147,90.91145336,8.128313965,19.95243156,36.49328728,34.23913288,45.60745738,81.93788863,8.592883266,1.288476641,33.13558061,61.33260819,1.522687553,24.22191754,57.50296287,0.726317687,3.453942368,7.274998658,317.8146735,449.716233,567.1155105,6.861903192,17.26196024,107.2393697,0.507825287,2.492539924,6.015434225,760,3115,7424,80,13,9411915,3.896524526,8.049100611,98.59417647,57.42066772,No
19,1923,102,Normal,Cable-Stayed,92.07857765,0.550059575,106.8895707,6,218.1759533,35.80553,17.62587366,-22.74569144,28.6095174,28.25330745,10.65588566,61.04858101,98.27027581,4.081952071,3.070883947,31.84375039,86.97563855,8.260474803,14.98677774,39.00973439,0.917988269,2.167363693,8.451147228,333.1083482,427.724711,463.6670285,3.198932019,23.93090846,136.5598465,0.366130215,2.157057602,8.493201524,861,4256,7743,38,12,6471505,6.955839622,2.440516773,80.8437347,99.00404695,Yes
20,1902,123,High-Strength,Beam,79.1356444,0.469054841,188.4969915,11,777.0361553,5.696953965,53.59949068,-16.60926251,10.38414683,29.23030492,36.82940759,47.67061878,79.95798944,12.16202053,16.2136606,41.10737229,91.81140925,0.530611378,25.03489159,53.40767618,0.253193221,3.94327772,6.846992951,333.2351258,381.3933426,549.0814555,1.497713525,32.63137737,157.7345636,0.616905753,1.855930228,6.511802759,346,3241,6237,97,9,5126415,5.203393366,8.589593941,53.83466312,41.56318289,Yes
21,1921,104,Normal,Beam,73.2796436,0.843071789,63.12013263,8,774.6403349,33.40229382,55.18796256,-10.77088728,8.2328168,29.1063433,26.11935744,44.27909714,93.20958268,2.681970898,17.56294634,20.7320168,83.63668437,0.425203755,26.45810193,32.51747191,0.949364897,3.579013634,5.539062647,349.42778,383.7730085,543.8213243,2.36917769,23.8737984,111.5551915,0.734472137,4.949799881,8.115174262,153,2930,6727,64,9,8553389,9.612630834,1.467995045,69.90653595,50.59120016,Yes
